"Make","year","selling_price","km_driven","fuel","seller_type","transmission","owner","mileage","engine","max_power","seats","selling_price_dollars","age","selling_price_binary"
"Honda",2006,165000,110000,"Petrol","Individual","Manual","Second Owner",17.7,1497,78,5,2145,16,"Yes"
"Hyundai",2010,270000,1e+05,"Diesel","Individual","Manual","Fourth & Above Owner",21.9,1396,90,5,3510,12,"Yes"
"Maruti",2017,750000,40000,"Diesel","Individual","Manual","First Owner",24.3,1248,88.5,5,9750,5,"Yes"
"Hyundai",2019,750000,30000,"Petrol","Individual","Manual","First Owner",18.6,1197,81.86,5,9750,3,"Yes"
"Maruti",2002,40000,80000,"Petrol","Individual","Manual","Third Owner",16.1,796,37,4,520,20,"Yes"
"Ford",2011,190000,90000,"Diesel","Individual","Manual","Second Owner",20,1399,68,5,2470,11,"Yes"
"Toyota",2009,395000,2e+05,"Diesel","Individual","Manual","Third Owner",12.8,2494,102,7,5135,13,"Yes"
"Toyota",2010,8e+05,125000,"Diesel","Individual","Manual","Second Owner",11.5,2982,171,7,10400,12,"No"
"Hyundai",2011,315000,80000,"Petrol","Individual","Manual","First Owner",17,1197,80,5,4095,11,"Yes"
"Audi",2014,1600000,44000,"Diesel","Individual","Automatic","Second Owner",16.55,1968,147.51,5,20800,8,"No"
"Toyota",2013,409999,90000,"Diesel","Individual","Manual","First Owner",23.59,1364,67.04,5,5329.987,9,"Yes"
"Hyundai",2018,580000,32000,"Petrol","Individual","Manual","First Owner",18.9,1197,81.86,5,7540,4,"Yes"
"Hyundai",2013,340000,70000,"Petrol","Individual","Manual","First Owner",18.5,1197,82.85,5,4420,9,"Yes"
"Hyundai",2015,270000,43000,"Petrol","Individual","Manual","First Owner",21.1,814,55.2,5,3510,7,"Yes"
"Tata",2017,280000,80000,"Diesel","Individual","Manual","First Owner",22.95,1248,74,5,3640,5,"Yes"
"Tata",2012,130000,60000,"Diesel","Individual","Manual","First Owner",22.3,1248,74,5,1690,10,"Yes"
"Hyundai",2014,260000,18945,"Petrol","Individual","Manual","First Owner",21.1,814,55.2,5,3380,8,"Yes"
"Hyundai",2018,710000,70000,"Diesel","Individual","Manual","First Owner",24,1186,73.97,5,9230,4,"Yes"
"Maruti",2013,204999,1e+05,"Petrol","Individual","Manual","Third Owner",15.1,1196,73,7,2664.987,9,"Yes"
"Datsun",2017,3e+05,60000,"Petrol","Individual","Manual","First Owner",20.62,1198,67,7,3900,5,"Yes"
"Maruti",2009,180000,144000,"Diesel","Individual","Manual","Second Owner",19.3,1248,73.9,5,2340,13,"Yes"
"Mahindra",2016,7e+05,120000,"Diesel","Individual","Manual","First Owner",18.49,1493,100,7,9100,6,"Yes"
"Hyundai",2012,320000,107825,"Diesel","Individual","Manual","Second Owner",21.9,1396,90,5,4160,10,"Yes"
"Maruti",2020,370000,15000,"Petrol","Individual","Manual","First Owner",22.05,796,47.3,5,4810,2,"Yes"
"Renault",2018,340000,10000,"Petrol","Individual","Manual","First Owner",25.17,799,53.3,5,4420,4,"Yes"
"Maruti",2019,1040000,1620,"Petrol","Individual","Manual","First Owner",19.01,1462,103.2,6,13520,3,"No"
"Hyundai",2018,750000,30000,"Diesel","Individual","Manual","First Owner",21.19,1396,88.76,5,9750,4,"Yes"
"Mahindra",2018,6e+05,70000,"Diesel","Individual","Manual","First Owner",18.49,2179,120,9,7800,4,"Yes"
"Mahindra",2016,550000,70000,"Diesel","Individual","Manual","First Owner",15.96,2523,63,9,7150,6,"Yes"
"Toyota",2013,6e+05,95000,"Diesel","Individual","Manual","Second Owner",12.99,2494,100.57,7,7800,9,"Yes"
"Tata",2017,550000,50000,"Diesel","Individual","Manual","First Owner",24.7,1047,69,5,7150,5,"Yes"
"Honda",2015,750000,160000,"Diesel","Individual","Manual","First Owner",25.1,1498,98.6,5,9750,7,"Yes"
"Hyundai",2019,450000,10000,"Petrol","Individual","Manual","First Owner",20.3,1086,68,5,5850,3,"Yes"
"Maruti",2012,4e+05,1e+05,"Diesel","Individual","Manual","Third Owner",20.77,1248,88.76,7,5200,10,"Yes"
"Maruti",2016,520000,50000,"Diesel","Individual","Manual","Second Owner",25.2,1248,74,5,6760,6,"Yes"
"Maruti",2013,199000,60000,"Petrol","Individual","Manual","Second Owner",20.2,998,67.1,5,2587,9,"Yes"
"Chevrolet",2012,150000,110000,"Diesel","Individual","Manual","First Owner",25.44,936,57.6,5,1950,10,"Yes"
"Hyundai",2016,540000,80000,"Diesel","Individual","Manual","Third Owner",21.19,1396,88.73,5,7020,6,"Yes"
"Maruti",2011,250000,85000,"Diesel","Individual","Manual","Second Owner",21.5,1248,88.8,5,3250,11,"Yes"
"Maruti",2010,2e+05,90000,"Petrol","Individual","Manual","Second Owner",18.9,1061,67,5,2600,12,"Yes"
"Tata",2011,130000,90000,"Diesel","Individual","Manual","Second Owner",25,1396,69,5,1690,11,"Yes"
"Maruti",2007,90000,90000,"Petrol","Individual","Manual","First Owner",16.1,796,37,4,1170,15,"Yes"
"Hyundai",2012,450000,120000,"Diesel","Individual","Manual","Second Owner",22.32,1582,126.32,5,5850,10,"Yes"
"Hyundai",2009,280000,120000,"Diesel","Individual","Manual","First Owner",18.1,1493,110,5,3640,13,"Yes"
"Tata",2007,280000,160000,"Diesel","Individual","Manual","Second Owner",13.93,2956,138.1,7,3640,15,"Yes"
"Maruti",2006,120000,141000,"Petrol","Individual","Manual","Second Owner",17.3,993,60,5,1560,16,"Yes"
"Maruti",2008,290000,1e+05,"Diesel","Individual","Manual","Second Owner",17.8,1248,75,5,3770,14,"Yes"
"Hyundai",2019,1e+06,15000,"Diesel","Individual","Manual","First Owner",22.1,1396,88.7,5,13000,3,"No"
"Maruti",2012,415000,108000,"Diesel","Individual","Manual","First Owner",19.3,1248,73.9,5,5395,10,"Yes"
"Maruti",2012,415000,108000,"Diesel","Individual","Manual","First Owner",23.4,1248,74,5,5395,10,"Yes"
"Chevrolet",2015,240000,55000,"Diesel","Individual","Manual","First Owner",25.44,936,56.3,5,3120,7,"Yes"
"Tata",2010,250000,37944,"Diesel","Individual","Manual","First Owner",18.4,1248,75,5,3250,12,"Yes"
"Ford",2011,175000,90400,"Diesel","Individual","Manual","First Owner",20,1399,68,5,2275,11,"Yes"
"Hyundai",2008,220000,85000,"Diesel","Individual","Manual","Second Owner",16.8,1493,110,5,2860,14,"Yes"
"Maruti",2003,85000,120000,"Diesel","Individual","Manual","Third Owner",20.8,1527,58,5,1105,19,"Yes"
"Maruti",2019,675000,5000,"Petrol","Individual","Manual","First Owner",21.21,1197,81.8,5,8775,3,"Yes"
"Renault",2016,535000,50000,"Diesel","Individual","Manual","First Owner",19.87,1461,83.8,5,6955,6,"Yes"
"Renault",2019,675000,5000,"Petrol","Individual","Manual","First Owner",20,999,72,7,8775,3,"Yes"
"Maruti",2016,8e+05,90000,"Diesel","Individual","Manual","First Owner",24.3,1248,88.5,5,10400,6,"No"
"Maruti",2012,425000,96000,"Diesel","Individual","Manual","Second Owner",20.77,1248,88.8,7,5525,10,"Yes"
"Maruti",2011,150000,80000,"Petrol","Individual","Manual","Third Owner",15.37,1196,73,5,1950,11,"Yes"
"Maruti",2007,90000,60000,"Petrol","Individual","Manual","Second Owner",18.2,1061,64,5,1170,15,"Yes"
"Mahindra",2015,850000,90000,"Diesel","Individual","Manual","First Owner",15.1,2179,140,7,11050,7,"No"
"Toyota",2008,330000,193623,"Diesel","Individual","Manual","Second Owner",12.8,2494,102,8,4290,14,"Yes"
"Hyundai",2017,850000,63186,"Diesel","Individual","Manual","First Owner",22.54,1396,88.73,5,11050,5,"No"
"Mahindra",2008,305000,219000,"Diesel","Individual","Manual","Second Owner",13.6,2523,63,7,3965,14,"Yes"
"Toyota",2013,910000,110000,"Diesel","Individual","Manual","Second Owner",12.99,2494,100,7,11830,9,"No"
"Toyota",2012,1100000,151000,"Diesel","Individual","Manual","First Owner",12.8,2494,102,8,14300,10,"No"
"Maruti",2019,675000,5000,"Petrol","Individual","Automatic","First Owner",21.4,1197,83.1,5,8775,3,"Yes"
"Maruti",2010,150000,91500,"Petrol","Individual","Manual","First Owner",19.7,796,46.3,5,1950,12,"Yes"
"Maruti",2015,550000,23000,"Diesel","Individual","Manual","First Owner",25.2,1248,74,5,7150,7,"Yes"
"Volkswagen",2012,350000,40000,"Diesel","Individual","Manual","First Owner",20.54,1598,103.6,5,4550,10,"Yes"
"Maruti",2012,3e+05,70000,"Diesel","Individual","Manual","First Owner",23.2,1248,73.94,5,3900,10,"Yes"
"Toyota",2018,1745000,10000,"Diesel","Individual","Automatic","First Owner",11.36,2755,171.5,7,22685,4,"No"
"Mahindra",2014,611000,90000,"Diesel","Individual","Manual","Second Owner",14,2523,75,7,7943,8,"Yes"
"Honda",2016,4e+05,68000,"Petrol","Individual","Manual","First Owner",19.4,1198,86.8,5,5200,6,"Yes"
"Hyundai",2013,7e+05,120000,"Diesel","Individual","Manual","First Owner",22.7,1582,126.24,5,9100,9,"Yes"
"Chevrolet",2013,3e+05,65000,"Diesel","Individual","Manual","First Owner",22.1,1248,76.9,5,3900,9,"Yes"
"Hyundai",2005,65000,85000,"Petrol","Individual","Manual","First Owner",15.3,1341,83,5,845,17,"Yes"
"Maruti",2011,2e+05,94000,"Petrol","Individual","Manual","Third Owner",18.9,998,67.1,5,2600,11,"Yes"
"Hyundai",2015,650000,1e+05,"Diesel","Individual","Manual","First Owner",22.54,1396,88.73,5,8450,7,"Yes"
"Hyundai",2015,650000,80000,"Diesel","Individual","Manual","First Owner",22.54,1396,88.73,5,8450,7,"Yes"
"Volkswagen",2013,350000,80000,"Diesel","Individual","Manual","Third Owner",22.07,1199,73.9,5,4550,9,"Yes"
"Tata",2011,75000,140500,"Diesel","Individual","Manual","Third Owner",17.88,1396,52.8,5,975,11,"Yes"
"Maruti",2010,240000,143000,"Petrol","Individual","Manual","First Owner",17.5,1298,85.8,5,3120,12,"Yes"
"Maruti",2013,240000,60000,"Petrol","Individual","Manual","First Owner",20.92,998,67.1,5,3120,9,"Yes"
"Tata",2011,180000,120000,"Diesel","Individual","Manual","Second Owner",18.4,1248,75,5,2340,11,"Yes"
"Hyundai",2014,9e+05,80000,"Diesel","Individual","Automatic","Second Owner",13.01,2199,194.3,7,11700,8,"No"
"Mahindra",2014,425000,63000,"Diesel","Individual","Manual","Second Owner",18.06,2523,63,7,5525,8,"Yes"
"Chevrolet",2009,95000,120000,"Petrol","Individual","Manual","Third Owner",18,995,62,5,1235,13,"Yes"
"Maruti",2018,811000,1e+05,"Diesel","Individual","Manual","First Owner",28.4,1248,74.02,5,10543,4,"No"
"Hyundai",2018,1100000,60000,"Petrol","Individual","Manual","First Owner",17,1591,121.3,5,14300,4,"No"
"Chevrolet",2013,6e+05,90000,"Diesel","Individual","Manual","First Owner",13.58,2499,72.4,9,7800,9,"Yes"
"Maruti",2014,550000,50000,"Diesel","Individual","Manual","Second Owner",20.77,1248,88.76,7,7150,8,"Yes"
"Mahindra",2015,715000,70000,"Diesel","Individual","Manual","First Owner",15.4,2179,120,7,9295,7,"Yes"
"Tata",2006,1e+05,120000,"Diesel","Individual","Manual","Third Owner",16.1,1405,70,5,1300,16,"Yes"
"Mahindra",2013,5e+05,195000,"Diesel","Individual","Manual","First Owner",14,2523,75,8,6500,9,"Yes"
"Maruti",2013,350000,40000,"Petrol","Individual","Manual","First Owner",20.51,998,67.04,5,4550,9,"Yes"
"Tata",2008,1e+05,40000,"Diesel","Individual","Manual","First Owner",16.8,1405,62,5,1300,14,"Yes"
"Tata",2012,325000,120000,"Diesel","Individual","Manual","First Owner",13.93,2179,138.03,7,4225,10,"Yes"
"Maruti",2012,220000,360003,"Petrol","Individual","Manual","Second Owner",18.9,998,67.1,5,2860,10,"Yes"
"Maruti",1999,55000,60000,"Petrol","Individual","Manual","Second Owner",16.1,796,37,4,715,23,"Yes"
"Renault",2016,330000,20000,"Petrol","Individual","Manual","First Owner",25.17,799,53.3,5,4290,6,"Yes"
"Mahindra",2014,480000,37000,"Diesel","Individual","Manual","First Owner",15.96,2523,62.1,7,6240,8,"Yes"
"Maruti",2018,950000,57000,"Diesel","Individual","Manual","Second Owner",25.1,1248,88.5,5,12350,4,"No"
"Hyundai",2011,3e+05,110000,"Diesel","Individual","Manual","Second Owner",16.2,1493,110,5,3900,11,"Yes"
"Hyundai",2006,170000,110000,"Petrol","Individual","Manual","Fourth & Above Owner",13.9,1599,103.2,5,2210,16,"Yes"
"Toyota",2013,850000,120000,"Diesel","Individual","Manual","Second Owner",12.99,2494,100.57,8,11050,9,"No"
"Tata",2019,9e+05,8079,"Diesel","Dealer","Manual","First Owner",24.7,1047,69,5,11700,3,"No"
"Toyota",2015,1325000,114368,"Diesel","Dealer","Manual","Second Owner",12.99,2494,100.6,7,17225,7,"No"
"Ford",2012,350000,79990,"Diesel","Dealer","Manual","Second Owner",17.8,1399,67,5,4550,10,"Yes"
"Ford",2012,425000,81632,"Diesel","Dealer","Manual","First Owner",20,1399,68,5,5525,10,"Yes"
"Ford",2016,6e+05,155201,"Diesel","Dealer","Manual","First Owner",26.1,1498,99.23,5,7800,6,"Yes"
"Ford",2014,750000,101504,"Diesel","Dealer","Manual","First Owner",22.7,1498,89.84,5,9750,8,"Yes"
"Ford",2012,450000,90165,"Diesel","Dealer","Manual","First Owner",17.8,1399,67,5,5850,10,"Yes"
"Ford",2010,325000,86017,"Diesel","Dealer","Manual","Second Owner",25.5,1498,99.23,5,4225,12,"Yes"
"Mahindra",2013,9e+05,85036,"Diesel","Dealer","Manual","Second Owner",15.1,2179,140,7,11700,9,"No"
"Ford",2013,6e+05,125531,"Diesel","Dealer","Manual","Second Owner",22.77,1498,98.59,5,7800,9,"Yes"
"Hyundai",2019,1100000,10000,"Petrol","Individual","Manual","First Owner",17,1591,121.3,5,14300,3,"No"
"Tata",2017,520000,20000,"Petrol","Individual","Manual","First Owner",23.84,1199,84,5,6760,5,"Yes"
"Mahindra",2015,885000,170000,"Diesel","Individual","Manual","First Owner",15.4,2179,120,7,11505,7,"No"
"Tata",2018,950000,40000,"Diesel","Individual","Automatic","First Owner",21.5,1497,108.5,5,12350,4,"No"
"Honda",2008,229999,120000,"Petrol","Individual","Manual","Second Owner",17,1497,118,5,2989.987,14,"Yes"
"Maruti",2013,409999,1e+05,"Diesel","Individual","Manual","Third Owner",23.2,1248,73.94,5,5329.987,9,"Yes"
"Ford",2011,3e+05,110000,"Diesel","Individual","Manual","Third Owner",17.8,1399,68,5,3900,11,"Yes"
"Tata",2008,175000,120000,"Diesel","Individual","Manual","Third Owner",16.8,1405,68,5,2275,14,"Yes"
"Maruti",2000,108000,206000,"Petrol","Individual","Manual","Fourth & Above Owner",19.7,796,46.3,5,1404,22,"Yes"
"Maruti",2017,425000,40000,"Petrol","Individual","Manual","Second Owner",23.1,998,67.04,5,5525,5,"Yes"
"Chevrolet",2011,272000,170000,"Diesel","Individual","Manual","Fourth & Above Owner",16.52,1991,123.7,5,3536,11,"Yes"
"Hyundai",2013,310000,70000,"Petrol","Individual","Manual","First Owner",19.81,1086,68.05,5,4030,9,"Yes"
"Hyundai",2017,1125000,105000,"Diesel","Individual","Manual","First Owner",21.38,1396,88.7,5,14625,5,"No"
"Hyundai",2014,450000,46000,"Petrol","Individual","Manual","Second Owner",19.1,1197,81.86,5,5850,8,"Yes"
"Volkswagen",2011,388000,80000,"Diesel","Individual","Manual","Second Owner",22.07,1199,73.9,5,5044,11,"Yes"
"Hyundai",2011,4e+05,60000,"Petrol","Individual","Manual","First Owner",16.2,1599,103.2,5,5200,11,"Yes"
"Honda",2015,760000,70000,"Diesel","Individual","Manual","Third Owner",25.1,1498,98.6,5,9880,7,"Yes"
"Maruti",2009,120000,90000,"Petrol","Individual","Manual","First Owner",19.7,796,46.3,5,1560,13,"Yes"
"Maruti",2019,757000,25000,"Diesel","Individual","Manual","First Owner",28.4,1248,74.02,5,9841,3,"Yes"
"Maruti",2015,270000,53000,"Petrol","Individual","Manual","Second Owner",22.74,796,47.3,5,3510,7,"Yes"
"Tata",2011,250000,90000,"Diesel","Individual","Manual","Second Owner",13.55,2179,118.35,7,3250,11,"Yes"
"Toyota",2011,8e+05,60000,"Diesel","Individual","Manual","First Owner",12.8,2494,102,7,10400,11,"No"
"Toyota",2014,1380000,150000,"Diesel","Individual","Manual","First Owner",13,2982,168.5,7,17940,8,"No"
"Mahindra",2014,7e+05,24000,"Diesel","Individual","Manual","First Owner",16.55,2498,105,6,9100,8,"Yes"
"Honda",2016,450000,1e+05,"Diesel","Individual","Manual","Second Owner",24.2,1498,98.6,7,5850,6,"Yes"
"Mahindra",2018,650000,6000,"Petrol","Individual","Manual","First Owner",18.15,1198,82,6,8450,4,"Yes"
"Mahindra",2013,950000,49700,"Diesel","Individual","Manual","First Owner",15.1,2179,140,7,12350,9,"No"
"Toyota",2007,626000,80000,"Diesel","Individual","Manual","Second Owner",12.8,2494,102,7,8138,15,"Yes"
"Maruti",2019,6e+05,10000,"Petrol","Individual","Automatic","First Owner",21.21,1197,81.8,5,7800,3,"Yes"
"Renault",2019,290000,21000,"Petrol","Individual","Manual","First Owner",25.17,799,53.3,5,3770,3,"Yes"
"Maruti",2013,215000,25000,"Petrol","Individual","Manual","First Owner",20.92,998,67.1,5,2795,9,"Yes"
"Renault",2016,250000,22000,"Petrol","Individual","Manual","First Owner",25.17,799,53.3,5,3250,6,"Yes"
"Maruti",2017,750000,50000,"Diesel","Individual","Manual","First Owner",24.52,1248,88.5,7,9750,5,"Yes"
"Maruti",2016,250000,20000,"Petrol","Individual","Manual","Second Owner",23.95,998,67.05,5,3250,6,"Yes"
"Honda",2017,950000,15000,"Petrol","Individual","Automatic","First Owner",15.4,1497,117.3,7,12350,5,"No"
"Ford",2018,793000,30000,"Diesel","Individual","Manual","First Owner",25.83,1498,99,5,10309,4,"No"
"Hyundai",2015,750000,74000,"Diesel","Individual","Manual","First Owner",19.67,1582,126.2,5,9750,7,"Yes"
"Honda",2017,725000,6550,"Petrol","Individual","Automatic","First Owner",18.2,1199,88.7,5,9425,5,"Yes"
"Hyundai",2016,480000,30000,"Diesel","Individual","Manual","First Owner",24,1120,70,5,6240,6,"Yes"
"BMW",2013,3750000,56000,"Diesel","Dealer","Automatic","First Owner",11.2,2993,241,4,48750,9,"No"
"Maruti",2018,795000,41779,"Petrol","Dealer","Manual","First Owner",21.21,1197,81.8,5,10335,4,"No"
"Honda",2016,625000,54000,"Petrol","Dealer","Manual","First Owner",18.7,1199,88.7,5,8125,6,"Yes"
"Mercedes-Benz",2016,2900000,31000,"Diesel","Dealer","Automatic","First Owner",13,2143,204,5,37700,6,"No"
"Maruti",2017,625000,37000,"Diesel","Individual","Automatic","First Owner",26.8,1248,74,5,8125,5,"Yes"
"Chevrolet",2011,440000,90000,"Diesel","Individual","Automatic","Second Owner",18.1,1991,147.9,4,5720,11,"Yes"
"Toyota",2018,1400000,13534,"Petrol","Dealer","Manual","First Owner",14.28,1798,138.03,5,18200,4,"No"
"Toyota",2017,1450000,7000,"Petrol","Dealer","Automatic","Second Owner",14.53,1794,138.1,5,18850,5,"No"
"Mercedes-Benz",2017,2700000,23000,"Diesel","Dealer","Automatic","First Owner",17.9,2143,136,5,35100,5,"No"
"Toyota",2019,1925000,43000,"Diesel","Dealer","Automatic","First Owner",11.36,2755,171.5,8,25025,3,"No"
"Other",2020,1900000,5000,"Diesel","Dealer","Automatic","First Owner",17.8,1493,113.4,5,24700,2,"No"
"Maruti",2017,844999,70000,"Diesel","Dealer","Manual","First Owner",28.09,1248,88.5,5,10984.987,5,"No"
"Skoda",2016,650000,99000,"Diesel","Dealer","Automatic","First Owner",21.66,1498,103.52,5,8450,6,"Yes"
"Maruti",2018,750000,15000,"Petrol","Dealer","Manual","First Owner",22,1197,81.8,5,9750,4,"Yes"
"BMW",2018,6e+06,28156,"Diesel","Dealer","Automatic","First Owner",17.09,2993,261.4,4,78000,4,"No"
"Honda",2015,610000,30000,"Petrol","Dealer","Manual","First Owner",18.7,1199,88.7,5,7930,7,"Yes"
"Toyota",2018,2940000,1e+05,"Diesel","Dealer","Automatic","First Owner",12.9,2755,174.5,7,38220,4,"No"
"Hyundai",2017,1150000,63309,"Diesel","Dealer","Manual","First Owner",19.67,1582,126.2,5,14950,5,"No"
"Toyota",2016,1825000,94000,"Diesel","Dealer","Automatic","First Owner",11.36,2755,171.5,7,23725,6,"No"
"Hyundai",2018,890000,29000,"Petrol","Dealer","Automatic","First Owner",17.4,1197,81.86,5,11570,4,"No"
"Jaguar",2017,2625000,9000,"Diesel","Dealer","Automatic","First Owner",13.6,1999,177,5,34125,5,"No"
"Lexus",2019,5150000,20000,"Petrol","Dealer","Automatic","First Owner",22.37,2487,214.56,5,66950,3,"No"
"Jaguar",2017,3200000,45000,"Diesel","Dealer","Automatic","First Owner",19.33,1999,177,5,41600,5,"No"
"Tata",2015,503000,110000,"Diesel","Individual","Manual","First Owner",14.1,2179,147.94,7,6539,7,"Yes"
"Volvo",2019,3800000,20000,"Diesel","Individual","Automatic","First Owner",18,1969,190,5,49400,3,"No"
"Toyota",2016,2e+06,68089,"Petrol","Trustmark Dealer","Automatic","First Owner",19.16,2494,157.7,5,26000,6,"No"
"Maruti",2013,225000,58343,"Petrol","Trustmark Dealer","Manual","First Owner",21.79,998,67.05,5,2925,9,"Yes"
"Maruti",2018,740000,38817,"Diesel","Dealer","Manual","First Owner",27.39,1248,74,5,9620,4,"Yes"
"Honda",2016,550000,56494,"Petrol","Trustmark Dealer","Manual","First Owner",18.2,1199,88.7,5,7150,6,"Yes"
"Toyota",2013,750000,79328,"Diesel","Trustmark Dealer","Manual","Second Owner",12.99,2494,100.6,7,9750,9,"Yes"
"Maruti",2019,650000,5621,"Petrol","Trustmark Dealer","Automatic","First Owner",22,1197,81.8,5,8450,3,"Yes"
"Toyota",2017,625000,25538,"Petrol","Trustmark Dealer","Manual","First Owner",16.78,1496,88.73,5,8125,5,"Yes"
"Maruti",2018,6e+05,69779,"Petrol","Dealer","Automatic","First Owner",22,1197,81.8,5,7800,4,"Yes"
"Hyundai",2017,450000,56290,"Diesel","Dealer","Manual","First Owner",24,1186,73.97,5,5850,5,"Yes"
"BMW",2019,5400000,7500,"Diesel","Dealer","Automatic","First Owner",16.78,1995,190,5,70200,3,"No"
"BMW",2019,5500000,8500,"Diesel","Dealer","Automatic","First Owner",16.78,1995,190,5,71500,3,"No"
"Honda",2019,779000,7032,"Petrol","Trustmark Dealer","Automatic","First Owner",19,1199,88.76,5,10127,3,"No"
"Skoda",2016,645000,11000,"Petrol","Dealer","Automatic","First Owner",14.3,1598,103.5,5,8385,6,"Yes"
"Volvo",2018,2475000,2000,"Diesel","Dealer","Automatic","First Owner",16.8,1984,150,5,32175,4,"No"
"Jaguar",2017,2625000,9000,"Diesel","Dealer","Automatic","First Owner",13.6,1999,177,5,34125,5,"No"
"Lexus",2019,5150000,20000,"Petrol","Dealer","Automatic","First Owner",22.37,2487,214.56,5,66950,3,"No"
"Jaguar",2017,3200000,45000,"Diesel","Dealer","Automatic","First Owner",19.33,1999,177,5,41600,5,"No"
"Tata",2015,503000,110000,"Diesel","Individual","Manual","First Owner",14.1,2179,147.94,7,6539,7,"Yes"
"Volvo",2019,3800000,20000,"Diesel","Individual","Automatic","First Owner",18,1969,190,5,49400,3,"No"
"Toyota",2016,2e+06,68089,"Petrol","Trustmark Dealer","Automatic","First Owner",19.16,2494,157.7,5,26000,6,"No"
"Maruti",2013,225000,58343,"Petrol","Trustmark Dealer","Manual","First Owner",21.79,998,67.05,5,2925,9,"Yes"
"Maruti",2018,740000,38817,"Diesel","Dealer","Manual","First Owner",27.39,1248,74,5,9620,4,"Yes"
"Honda",2016,550000,56494,"Petrol","Trustmark Dealer","Manual","First Owner",18.2,1199,88.7,5,7150,6,"Yes"
"Toyota",2013,750000,79328,"Diesel","Trustmark Dealer","Manual","Second Owner",12.99,2494,100.6,7,9750,9,"Yes"
"Maruti",2019,650000,5621,"Petrol","Trustmark Dealer","Automatic","First Owner",22,1197,81.8,5,8450,3,"Yes"
"Toyota",2017,625000,25538,"Petrol","Trustmark Dealer","Manual","First Owner",16.78,1496,88.73,5,8125,5,"Yes"
"Maruti",2018,6e+05,69779,"Petrol","Dealer","Automatic","First Owner",22,1197,81.8,5,7800,4,"Yes"
"Hyundai",2017,450000,56290,"Diesel","Dealer","Manual","First Owner",24,1186,73.97,5,5850,5,"Yes"
"BMW",2019,5400000,7500,"Diesel","Dealer","Automatic","First Owner",16.78,1995,190,5,70200,3,"No"
"BMW",2019,5500000,8500,"Diesel","Dealer","Automatic","First Owner",16.78,1995,190,5,71500,3,"No"
"Honda",2019,779000,7032,"Petrol","Trustmark Dealer","Automatic","First Owner",19,1199,88.76,5,10127,3,"No"
"Skoda",2016,645000,11000,"Petrol","Dealer","Automatic","First Owner",14.3,1598,103.5,5,8385,6,"Yes"
"Volvo",2018,2475000,2000,"Diesel","Dealer","Automatic","First Owner",16.8,1984,150,5,32175,4,"No"
"Jaguar",2017,2625000,9000,"Diesel","Dealer","Automatic","First Owner",13.6,1999,177,5,34125,5,"No"
"Lexus",2019,5150000,20000,"Petrol","Dealer","Automatic","First Owner",22.37,2487,214.56,5,66950,3,"No"
"Jaguar",2017,3200000,45000,"Diesel","Dealer","Automatic","First Owner",19.33,1999,177,5,41600,5,"No"
"Tata",2015,503000,110000,"Diesel","Individual","Manual","First Owner",14.1,2179,147.94,7,6539,7,"Yes"
"Volvo",2019,3800000,20000,"Diesel","Individual","Automatic","First Owner",18,1969,190,5,49400,3,"No"
"Toyota",2016,2e+06,68089,"Petrol","Trustmark Dealer","Automatic","First Owner",19.16,2494,157.7,5,26000,6,"No"
"Maruti",2013,225000,58343,"Petrol","Trustmark Dealer","Manual","First Owner",21.79,998,67.05,5,2925,9,"Yes"
"Maruti",2018,740000,38817,"Diesel","Dealer","Manual","First Owner",27.39,1248,74,5,9620,4,"Yes"
"Honda",2016,550000,56494,"Petrol","Trustmark Dealer","Manual","First Owner",18.2,1199,88.7,5,7150,6,"Yes"
"Toyota",2013,750000,79328,"Diesel","Trustmark Dealer","Manual","Second Owner",12.99,2494,100.6,7,9750,9,"Yes"
"Maruti",2019,650000,5621,"Petrol","Trustmark Dealer","Automatic","First Owner",22,1197,81.8,5,8450,3,"Yes"
"Toyota",2017,625000,25538,"Petrol","Trustmark Dealer","Manual","First Owner",16.78,1496,88.73,5,8125,5,"Yes"
"Maruti",2018,6e+05,69779,"Petrol","Dealer","Automatic","First Owner",22,1197,81.8,5,7800,4,"Yes"
"Hyundai",2017,450000,56290,"Diesel","Dealer","Manual","First Owner",24,1186,73.97,5,5850,5,"Yes"
"BMW",2019,5400000,7500,"Diesel","Dealer","Automatic","First Owner",16.78,1995,190,5,70200,3,"No"
"BMW",2019,5500000,8500,"Diesel","Dealer","Automatic","First Owner",16.78,1995,190,5,71500,3,"No"
"Honda",2019,779000,7032,"Petrol","Trustmark Dealer","Automatic","First Owner",19,1199,88.76,5,10127,3,"No"
"Skoda",2016,645000,11000,"Petrol","Dealer","Automatic","First Owner",14.3,1598,103.5,5,8385,6,"Yes"
"Volvo",2018,2475000,2000,"Diesel","Dealer","Automatic","First Owner",16.8,1984,150,5,32175,4,"No"
"Jaguar",2017,2625000,9000,"Diesel","Dealer","Automatic","First Owner",13.6,1999,177,5,34125,5,"No"
"Lexus",2019,5150000,20000,"Petrol","Dealer","Automatic","First Owner",22.37,2487,214.56,5,66950,3,"No"
"Jaguar",2017,3200000,45000,"Diesel","Dealer","Automatic","First Owner",19.33,1999,177,5,41600,5,"No"
"Tata",2015,503000,110000,"Diesel","Individual","Manual","First Owner",14.1,2179,147.94,7,6539,7,"Yes"
